微博id,微博正文/转发理由,是否原创,情感得分
IuUAxx6Fq,#朋友请听好开播# 没有什么事是广播小站解决不了的，#朋友请听好#为你解忧。朋友请听好先导片：何炅谢娜千玺开启室友生活 周震南王锵爆笑助阵  [组图共4张] 原图 ,True,24.0947757276622
IuAnlqmmY,笃前行勿顾后，背黑暗向光明。今天起，新天辽阔，阿易重生。#热血同行艳势番#  [组图共2张] 原图 ,True,-1.8490212101484
Iu9vT9X72,转发理由:你别害怕，我会陪你说话，一路走回家 #朋友请听好主题曲##朋友请听好#  ,False,2.7408664743213005
Itzqrtq0q,转发理由:让我们用声音陪伴你，希望广播小站可以给大家带来更多温暖#朋友请听好# #朋友请听好定档#  ,False,14.307936161645799
IsZB4e9fE,转发理由:希望更多的人能看到这个信息，可以帮助到有需要的朋友。  ,False,2.0776928195234
IssvS1cof,热血向前，无惧无畏，跨越险阻，风雨同行。艳势番新征程开启，阿易邀你热血同行。#热血同行艳势番##艳势番出征#  [组图共2张] 原图 ,True,19.575911358701198
IrV4fyGdc,转发理由:和牧尘一起开启探险之旅～  ,False,1.916409872631
Ir1OL4NSK,祝大家新的一年健康顺利，向奋战在一线的医务人员致敬！大家一定要注意防护，出门记得戴口罩，照顾好自己和家人。  ,True,14.410403636765201
IqZHh52ku,转发理由:祝大家春节快乐，阖家安康，今晚一起过除夕。  ,False,4.375959807318
IqHsU0q4P,转发理由:#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康  ,False,29.925985503726
IqmSQ5uCH,转发理由:大年三十，《夺冠》提前上场！#电影夺冠提档#  ,False,6.120946799315
IqkyehvTf,满腔热忱，无畏前行。#热血同行艳势番##热血同行开播#  原图 ,True,9.162368586670901
IpWWZtEZ9,转发理由:#热血同行定档0120# 无负青春，共赴远方！大家久等了，我们来了  ,False,7.290519510378
IpVcxjdb9,集 新年开运卡 ，分享新年好运。转发微博，就有可能获得我的限定【开挂运】！集齐6种开运卡将在1月24日20:20 获得鸿运大红包 ！#集卡开鸿运#祝大家小年快乐，喜乐安康～ @让红包飞  原图 ,True,32.075548873007506
IpjaSELOw,与我一起，加入@angelica张宇 @Vogue服饰与美容 发起的#Vogue环保打卡#接力，我倡导大家在日常生活与工作中多使用双面打印，减少纸张浪费。把环保落实到生活细节当中，从今天开始，你准备好了吗？#此刻即未来# TFBOYS-易烊千玺的微博视频  ,True,25.234462663615
Ip2eZ1T8u,明星动态  ,True,2.68238640831
IoTZcf1U5,转发理由:不分昼夜地拼搏，让心中的热爱更加坚定。#电影中国女排推广曲#  ,False,10.014166634698602
IoHVEwUW5,转发理由:年少，有不顾一切的热爱。#中国女排推广曲MV#  ,False,8.5634993067226
IoGzf66Vf,转发理由:你，听见世界的声音了吗？#微博十年 不止一面#  ,False,4.96730681456
IoyyFdY7i,红，是力量与光彩，是经典与质感，是炽热与浓烈，是@阿玛尼 传奇红管。阿玛尼的微博视频  ,True,15.63608411616
IovXG3ndR,转发理由:很高兴加入@阿玛尼   ,False,1.37448118135
IodsXvUmD,寻找无限可能，铭刻旅途美景。新的一年，和我一起为旅行增加更多色彩。#RIMOWAessential# @RIMOWA日默瓦  原图 ,True,10.400258489403
InF1TeQVC,转发理由:#星辰大海演员计划# 仰望梦想，我们起航，努力前行！  ,False,12.996621722879
InEMefIBi,转发理由:#happyNEOyear# 和我一起加入#生来好动#的@adidasneo ，在新的一年闯关升级，玩“新”大发  ,False,7.28139902137083
Innoc54uL,转发理由:好  ,False,0
ImKlyveyb,转发理由:新歌听起来  ,False,2.3356605929144
ImxUm4DzL,武亦是舞，打破想象与界限和我一起#新年造万象#  @adidasOriginalsadidas视频的微博视频  ,True,3.5428998526224
ImeHbaPpn,转发理由:#朋友请听好# 广播新人报到，我们用声音交朋友，等你来@朋友请听好 #给何炅谢娜千玺取团名#//@谢娜:#朋友请听好#  好期待我们的广播小站，快来电和我分享你的故事 哇!这是什么神仙组合对不对，那么先  #给何炅谢娜千玺取团名# 吧 @TFBOYS-易烊千玺  ,False,23.920480589090193
Im9IcnJHg,第一次个人演唱会，希望可以尝试些不一样的，也希望通过这场演唱会，和大家分享一些自己的看法和态度。很开心也很感动，谢谢大家的到来，谢谢一直支持我的你们，谢谢台前幕后的每一位工作人员。每个人，都是独一无二的，愿大家都能保持住自己的个性。  [组图共4张] 原图 ,True,30.815318175120797
Im5lX75wS,在冷静和热情之间，用#华为nova6#拍出大不一样。#自拍大不一样#  [组图共2张] 原图 ,True,2.7816987130974997
Im0a5CJrD,感谢昂司蛋糕的设计师团队，这款演唱会蛋糕和“封闭货车”的设计很酷，蛋糕味道很赞，希望以后可以和大家分享更多美好。@ANGSI昂司蛋糕颜究所  原图 ,True,18.476468324523
IlZHe9yuu,谢谢你们今天来看我的演唱会，希望能给你们留下独一无二的回忆。大家早点回家，注意安全～ TFBOYS-易烊千玺的微博视频  ,True,5.204677011583001
IlUtMz2yh,现场见 绿洲  原图 ,True,2.64051579542
IlCI7AE3c,每个人都有自己的温差。每一种温度，都是一种可能。QQ音乐：温差感酷狗音乐：http://t.cn/AikLFqnJ酷我音乐：http://t.cn/AikLFqn6咪咕音乐：http://t.cn/AikLFqnb  原图 ,True,12.140964315904
IltVomLfN,保持棱角，保持独特。 TFBOYS-易烊千玺的微博视频  ,True,3.970170009727
IlomqDCHL,转发理由:感谢@新周刊 颁发给我2019中国年度新锐榜“年度新锐人物”这份荣誉，很开心得到这份认可，我会继续努力，做更多新的尝试和挑战。  ,False,29.951786731071397
IkyGR8LfW,转发理由:#国家公祭日#铭记历史，祭奠同胞，珍爱和平，吾辈自强！//@TFBOYS组合:#国家公祭日#铭记历史，珍爱和平，吾辈当自强  ,False,6.353374790625879
Iksd3nvxt,齐了#华为nova6##自拍大不一样#  原图 ,True,0.905045438336
IjWNazzxj,嘘，秘密。#最美表演# 最美表演的微博视频  ,True,8.73913731537
IjO5NsSpc,转发理由:跟舒淇姐合作很开心//@舒淇:千璽 千禧  ～  ,False,6.329167001334
IjvDwudZn,我支持@angelica张宇 @Vogue服饰与美容 发起的环保呼吁，我倡导纸张双面打印，减少纸张浪费。与我一起，加入#Vogue环保打卡#的行列，从小事做起，将保护自然的力量不断传递，#此刻即未来#。  原图 ,True,32.517350960492
IjmdJnxPm,转发理由:与@angelica张宇 @Vogue服饰与美容 共同致力环保，加入#Vogue环保打卡#，从此刻做起。#此刻即未来#  ,False,21.017810056349997
IilTPaivq,19岁的第一天  原图 ,True,2.56796866891
IiljhBh81,12月22日，上海见！  原图 ,True,2.094524566575
IihiyuyLZ,在冷静和热情之间，以适合自己的温度存在。 绿洲  原图 ,True,4.4678778505995
IicZv9RLp,今天是我的生日，来祝福我吧！  ,True,7.2686715417
IhzM95CC5,转发理由:祝师弟们出道快乐，全新征程开启，坚持自己内心的热爱，未来有更多精彩在等待你们！  ,False,20.949451737626998
IgZhA86EJ,分享图片 绿洲  原图 ,True,5.04025038985
IgmX9k5Bv,时装与电影，定格时光，记录经典。#VogueFilm时装电影盛典#@Vogue服饰与美容@VogueFilm  [组图共3张] 原图 ,True,24.247292761989
Igk5ejmWb,转发理由:转发微博 查看图片  ,False,2.4408402964900002
IfTwa4msU,用镜头语言传承经典，以电影故事解读时间的影像，11月14日见。#VogueFilm时装电影盛典##VogueFilm时装电影月#@angelica张宇@VOGUE服饰与美容@VogueFilm  原图 ,True,29.1681438309993
IfA0A03xu,今晚七点半，天猫#双11狂欢夜#，舞台见！  原图 ,True,1.7077191308369999
Ifng0CX3Y,转发理由:#火焰蓝一周年# 让我们一起提高森林防火意识，关注森林消防英雄群体！  ,False,7.799523817224839
IfafmAREq,祝@TFBOYS-王源 19岁生日快乐，希望源哥在外一切顺利，越来越酷！  原图 ,True,6.93342423907
If5YciOHD,每个人都拥有无限的灵感与可能，都能够大放异彩，活出年轻，让愿望11实现。来@evian依云中国 天猫依云官方旗舰店 evian依云官方旗舰店 ，发现限量彩虹水滴瓶。  原图 ,True,32.00940128109679
IeLaUnmza,转发理由:一起行动起来，为进博会添上一抹青春亮色！  ,False,8.96242911452
IeoZveZKU,2000拥有什么样的力量？ @欧乐B「净」界大片，告诉你答案。11月4日欧乐B品牌发布会，一起探索欧乐B的极致「净」界，见证心愿实现。  #净界 不止所见# 欧乐B的秒拍视频  ,True,28.4307514040622
IelCu97Q3,转发理由:#父母看完少年的你# 和你说了什么？  ,False,0.34194046875699996
IejIrolod,转发理由:恭喜凯哥演唱会圆满成功～  ,False,0.523168402707
Ie6kCEYZk,转发理由:少年没做完的梦，我们一同追赶。  ,False,-0.7681255684956001
Ie1Dgl9YA,11月1日#中国味零食秀# ，@百草味 用零食跨界演绎中国味，我们杭州见。http://t.cn/Ai1ut7wd  原图 ,True,7.523457929851
IdCFslBQB,再次回忆18年夏天的重庆，燥热、潮湿、压抑，也有些许幸福——离上次来重庆已经两年过去了，拍摄地和酒店也在几年前训练的公司附近，每次上下班路上总能看到以前爱去的店铺，想到我还像个小不点的那个时候最爱吃的抄手，公司楼下的小吃店，鸭腿、馄饨、小面一顿一顿地吃。回忆这感觉的时候……有点熟...全文 ,True,2.0727843242026007
Idq4d1LIE,当每一个人都贡献力量，我们就能保护少年，保护世界。#电影少年的你# TFBOYS-易烊千玺的微博视频  ,True,5.1051480059430006
IcNd4eOgU,我是@欧乐B 品牌代言人易烊千玺，和我一起探索欧乐B的极致「净」界，2000的时代，正来临。#净界 不止所见#  原图 ,True,14.5799311664972
IczqQgCkK,简单、纯粹，是属于每个人的I Adore You. TFBOYS-易烊千玺的微博视频  ,True,3.2173351116089997
IcxOskGu0,转发理由:#美育未来，慈善同行# 坚持初心，与爱同行  ,False,9.4856545932093
Icwq06ntm,今晚七点，来#天猫双11开幕盛典#，和我一起解锁新歌《I Adore You》，@天猫 一会见  [组图共2张] 原图 ,True,8.532583988054
Icut37dbY,“给我一个节日，让愿望11实现”，@天猫 双11全球狂欢节，参与#愿望11实现#话题互动，让我看到你们的愿望吧～#双11来了# Tmall天猫的秒拍视频  ,True,18.711746286405
IclzUnLHw,明天上新  原图 ,True,1.5282011443648
IaXvCFBwG,转发理由:珍惜韶华，不负青春，一起做新时代的追梦人！  ,False,7.048819333833399
I9rFv0nyD,转发理由:爱我中华，祖国万岁🇨🇳//@TFBOYS组合:亲爱的祖国母亲生日快乐，祖国万岁，越来越好！🇨🇳🇨🇳🇨🇳🎂🎂🎂  ,False,13.364913706435
I9qSztGo4,转发理由:愿祖国母亲越来越好，生日快乐🇨🇳 //@TFBOYS组合:美好的祝愿献给伟大的祖国，祝您生日快乐！🇨🇳🇨🇳🇨🇳🎂🎂🎂  ,False,9.3466466892706
I9aGcDj3a,转发理由:#我和我的祖国# 致敬共和国最亮的星！//@TFBOYS组合:#我和我的祖国# 向您们致敬！  ,False,8.291157832534001
I93lC4bUJ,#今天是你的生日#《今天是你的生日——庆祝新中国成立70周年优秀国产影片特别推介》，今晚七点半在CCTV3、CCTV6播出，一起感受光影力量，为祖国祝福！  [组图共2张] 原图 ,True,43.538335879521505
I90tNccd5,转发理由:致敬伟大祖国，祝新中国70岁生日快乐  ,False,9.361741714242
I8ZhLEgQ0,#我和国旗合个影# 爱国不犹豫，我是易烊千玺，我在北京，向祖国母亲表白 TFBOYS-易烊千玺的微博视频  ,True,3.813796655673
I7RJxDIY9,祝凯哥@TFBOYS-王俊凯 二十岁生日快乐，20岁开启人生新阶段，继续坚定地走自己的路，做喜欢的事，做最开心的boy！👻  [组图共2张] 原图 ,True,13.911255108839297
I7ucicp6G,转发理由:勿忘国耻，捍卫和平🇨🇳//@TFBOYS组合:勿忘国耻，吾辈自强！🇨🇳🇨🇳🇨🇳  ,False,0.4104831388599999
I7kbmBnAf,转发理由:#一场特别的快闪祝福祖国# 祝愿祖国更加繁荣昌盛，明天更美好  ,False,10.748710234235801
I7aMuhbgj,转发理由:想要neo菌去到你的城市，一起#混市开玩#吗？锁定@adidasneo，等你来 #生来好动#  ,False,5.229928952356
I6MsxqJko,我带着自拍来了，祝大家中秋快乐，团圆喜乐  [组图共2张] 原图 ,True,12.104196799854002
I6BIaCWo8,你好，世界！我是易烊千玺，我为家乡湖南点赞。#创新湖南融入世界# 外交部举办湖南全球推介活动，生态湖南，山水秀美，和我一起感受#你不知道的新湖南#！ TFBOYS-易烊千玺的微博视频  ,True,22.912390219313004
I6yXL0ieI,转发理由:9月13日中秋节，我在#央视中秋晚会#现场等你们～不见不散！@CCTV4  ,False,5.972450405345
I5Fvqd4rb,转发理由:#智族GQ十年# 预祝盛典圆满成功，十周年生日快乐！  ,False,13.898204007579999
I4MFVhSzC,转发理由:祝源哥演唱会圆满成功  ,False,0.523168402707
I4mhrnYpt,转发理由:#微博十年# 十周岁生日快乐//@曹国伟:#微博十年# 生日快乐！  ,False,12.450810758772
I3x0us7fu,转发理由:#智族GQ十年# 致敬十年，期待未来更多精彩。祝@智族GQ 十周年生日快乐！  ,False,25.75949309517
I3ejtdSqm,#微博十年##我和微博的那些事# 我最常用的表情是，你们呢？http://t.cn/AiHfJuTk  原图 ,True,6.825822122293
I2VCw6hs9,转发理由:回到“源”点，一起感受  ,False,0.5434467841139999
I29u5kRns,转发理由:#我也支持香港警察#🇨🇳🇨🇳🇨🇳//@TFBOYS组合:#我也支持香港警察# 🇨🇳🇨🇳🇨🇳  ,False,8.146754087789999
I1MwG099e,"转发理由:谢谢李赫宰哥哥和团队给我们的指导和帮助，很开心可以一起工作，辛苦了～//@haohaohyuk:@TFBOYS组合 콘서트가 무사히 잘 마무리 되어서 다행이에요. 6주년을 진심으로 축하하고, 앞으로도 더 멋지게 성장하길 바랄게요! 더운 날씨에 정말 수고했고, 함께 일하게돼서 즐거웠어요. 다음에 또 만나요.  ",False,12.360815224636
I1LmpoBkM,转发理由:很开心五月天哥哥们来参加我们的演唱会，谢谢哥哥们送给我们的礼物，祝哥哥们北京鸟巢演唱会圆满成功！  ,False,18.741122199437008
I1HPW4zak,转发理由:救援人员辛苦了，愿大家平安🙏//@TFBOYS组合:致敬英雄！愿平安🙏🏻🙏🏻🙏🏻  ,False,15.335067514097
I1CVxC8IB,#TFBOYS告白TheFever六周年演唱会# 今天的演唱会我们很开心，感谢大家一直以来的陪伴，回家路上一定要注意安全，早点休息，晚安～ TFBOYS-易烊千玺的微博视频  ,True,10.035393531037
I1A858bfM,#TFBOYS告白TheFever六周年演唱会# 今晚一起享受舞台  原图 ,True,5.786599862353
I1zT6oRfW,转发理由:#TFBOYS告白TheFever六周年演唱会#大家不要在场馆外聚集，做好防暑防晒措施，注意安全。晚上见。  ,False,7.8937912715187
I1xNG4cZU,#TFBOYS告白TheFever六周年演唱会# 演唱会就要到来了，十分期待和大家的见面，大家一定要注意防暑、注意安全。今年的演唱会将于四点开始检票入场，希望大家六点半前完成入场。为了能够顺利见面，我们恳请大家：不要在场馆周边聚集，不做应援、不呼喊口号；不带灯牌等易燃易爆危险品入场，为每一个人的...全文 ,True,18.186602316942903
I1qchtJYk,#TFBOYS告白TheFever六周年演唱会# 演唱会倒计时1天！我们正在做最后的准备，为了明天能顺利见面，我们在此提醒大家：天气炎热，请大家注意防暑，不要在场馆外聚集、呼喊口号，不要夜排，不做任何应援，明日的演唱会将于四点开始检票入场，希望大家尽量于六点半前入场完毕。没有票的大家请勿来到现场，...全文 ,True,21.587533738097303
I1kmvBmdj,After the summer comes the fall Fall  原图 ,True,10.406682021984999
I1hhIs3Ys,#TFBOYS告白TheFever六周年演唱会# 后天就是我们的六周年演唱会了，为了能够顺利和大家见面，以下几点注意事项希望大家遵守并配合我们：有票的大家不聚集，不应援，不携带灯牌等易燃易爆危险品进入场馆；没有票的大家可以通过直播和我们一起过生日！期待一起度过美好的时刻，8.10舞台见！...全文 ,True,19.5812626013982
I1eFi5YzN,转发理由:跟随我的👣 ，易起燃爆未来🔥 #混造OZ世代# #OZWEEGO# @adidasOriginals  ,False,4.959806541903
I19pT5BD5,转发理由:多的是你不知道的事，详见小黑屋  ,False,-0.7878867951590001
I18tvh5f8,#TFBOYS告白TheFever六周年演唱会# 距离六周年演唱会已经非常近了，我们正在全力准备和大家的见面，同时我们也很担心大家的安全，所以再次提醒来看演唱会的大家：我们的演唱会下午四点就可以开始入场了，请大家五点半前到场，在六点半前配合安检人员排队有序完成入场，天气炎热注意防暑，没有票的大家...全文 ,True,12.315869734298799
I14CW8Hck,我已经到酒店了，大家快回去好好休息吧，一定要注意安全，演唱会现场见！  ,True,2.8156598425270003
I109QyAuE,转发理由:祝VOGUE14周年生日快乐！期待未来更多精彩#国模之美#  ,False,10.989742836729999
I0S513IGn,转发理由:TFBOYS特别六，一起大步向前走  ,False,2.13600542481
I0NpapBbE,转发理由:#TFBOYS第一次告白# 未来遥远勇敢去追  ,False,5.0797290203143985
I0Ga2onIa,转发理由:#五星红旗有14亿护旗手# 我爱祖国，我是护旗手！🇨🇳//@TFBOYS组合:#五星红旗有14亿护旗手# 五星红旗是我们的骄傲！我们都是护旗手🇨🇳🇨🇳🇨🇳  ,False,13.286872954382
I0xgnbuNU,#这就是街舞# 今晚收官，一起感受街舞的魅力！  原图 ,True,6.302922934286
I0wcb7GQ6,转发理由:益起来，帮助更多需要帮助的人  ,False,0
I0jUbwxxu,未知旅途，探索内心，追寻美好陷落美好  原图 ,True,12.379710867059
I0e5SlwxV,转发理由:#黄晓明别哭我最爱的人# 向消防英雄致敬，支持《烈火英雄》！  ,False,12.383644103883201
I0csqujCP,转发理由:#致敬中国军人# 谢谢你们的无畏与坚守，节日快乐！//@TFBOYS组合:#致敬中国军人# 向无畏坚守的你们致敬，节日快乐！  ,False,17.904021177824
HFQ8usKkq,转发理由:听源哥唱关于旅程的《源》～  ,False,3.574543507902
HFrBo6Ykr,#这就是街舞# 易燃装置全员合体，一起享受舞台易燃装置战队秀，各舞种集结燃炸全场！  ,True,16.208478749798203
HFi4RuXoe,转发理由:期待今晚王经理上线～  ,False,2.607948449876
HF6ZQy4dX,#TFBOYS告白TheFever六周年演唱会# 期待已久的六周年演唱会就要来了，为了演出顺利进行，为了能和大家如约见面，我们需要大家的支持：现场的你注意防暑，请不要在场馆外聚集应援，不要携带灯牌等易燃危险品进入场馆，有序排队检票入场，听从现场工作人员的安排，避免出现安全问题，共同保障这次演唱会...全文 ,True,23.354320986871098
HF3WX2r6D,#TFBOYS帮你消化不开心# 炎炎夏日没胃口吃饭？别不开心，@蒙牛GO畅乳酸菌 来帮你消化！#在乎不开心这件小事#  原图 ,True,10.616254710568997
HENVkyLmh,转发理由:一起享受这场演唱会，现场见  ,False,4.2109778491470005
HEHnnb0Bb,#长安十二时辰# 李司丞今晚有“新衣服”穿了  原图 ,True,4.5290923898061
HEExvchfK,转发理由:来听凯哥新歌～  ,False,2.3356605929144
HEmnOlBjc,年轻，不被定义。我还要探索无限可能，#我还要活出年轻# evian依云中国的微博视频 @evian依云中国 http://t.cn/EwB0DAK  ,True,10.710553010500998
HEcdsyxSj,转发理由:“忘记我们，记住他们”，记住这个时代最可爱的人//@黄晓明:#烈火英雄# 作为演员，我们只是花几个月时间去体验和饰演消防员，但现实中却有无数消防员为了我们的平安在默默奉献着，甚至有人会牺牲生命去守护我们。所以看完这部电影，请忘记我们，记住他们！  ,False,23.525436952810296
HDSef4AcK,#与千玺理想生活一夏# 6天的放飞“假期”结束，以颜为本、玩出热血、以圈会友、花式养身、以国为潮、独而不孤……这是我的夏日理想生活打开方式，#理想夏日露一手#晒出来，让我也看看你的夏日生活吧！Tmall天猫的秒拍视频  ,True,34.140398446256334
HDBJufW46,转发理由:生活中的美好时刻都值得被记录，这次换你来分享。  ,False,9.469282845364
HDtkbl6Os,六年了，感谢大家陪伴我长大～  [组图共2张] 原图 ,True,7.6889222538399995
HD6DsccDF,转发理由:#TFBOYS我的朋友# 一起成长，我的朋友  ,False,4.1760869409720005
HD5s6AMxi,感谢@天猫 支持我的放飞计划！我的夏日理想生活正式开启~上天猫和我互动，我们一起度过一个有趣又有意义的夏天#与千玺理想生活一夏#   Tmall天猫的秒拍视频  ,True,30.649607319139
HCWDrlkf3,今天太阳真的大，想给自己放个假，@天猫 放飞单请查收！想了解我的夏日理想生活，来这里找我 http://t.cn/AiOsVspg #与千玺理想生活一夏#  原图 ,True,16.412358442282997
HBtc6kXob,转发理由:不忘初心，牢记使命，祝福祖国  ,False,4.620885941131601
HATrqmALj,#长安十二时辰##长安十二时辰开播# 破逆境，守苍生，保卫盛世长安！长安十二时辰 01  ,True,10.761623383449
