微博id,微博正文/转发理由,是否原创,情感得分
Iwz59k9RR,在“家”的一天 @智族GQ  [组图共9张] 原图 ,TRUE,1
IwaUdj6DM,转发理由:#朋友请听好# 解忧广播小站今晚登陆湖南卫视，不见不散～  ,FALSE,1
IvYuOwdSw,来#朋友请听好#广播小站，倾听大家的故事。朋友请听好第1期：何炅谢娜神仙友情超感人 千玺为中戏招生办代言  [组图共2张] 原图 ,TRUE,1
IvELWiDrH,风云际会上海滩，护和谈劈荆斩棘，重情义不惧困厄。#热血同行艳势番#  [组图共2张] 原图 ,TRUE,1
IuUAxx6Fq,#朋友请听好开播# 没有什么事是广播小站解决不了的，#朋友请听好#为你解忧。朋友请听好先导片：何炅谢娜千玺开启室友生活 周震南王锵爆笑助阵  [组图共4张] 原图 ,TRUE,1
IuAnlqmmY,笃前行勿顾后，背黑暗向光明。今天起，新天辽阔，阿易重生。#热血同行艳势番#  [组图共2张] 原图 ,TRUE,1
Iu9vT9X72,转发理由:你别害怕，我会陪你说话，一路走回家 #朋友请听好主题曲##朋友请听好#  ,FALSE,1
Itzqrtq0q,转发理由:让我们用声音陪伴你，希望广播小站可以给大家带来更多温暖#朋友请听好# #朋友请听好定档#  ,FALSE,1
IsZB4e9fE,转发理由:希望更多的人能看到这个信息，可以帮助到有需要的朋友。  ,FALSE,1
IssvS1cof,热血向前，无惧无畏，跨越险阻，风雨同行。艳势番新征程开启，阿易邀你热血同行。#热血同行艳势番##艳势番出征#  [组图共2张] 原图 ,TRUE,1
IrV4fyGdc,转发理由:和牧尘一起开启探险之旅～  ,FALSE,1
Ir1OL4NSK,祝大家新的一年健康顺利，向奋战在一线的医务人员致敬！大家一定要注意防护，出门记得戴口罩，照顾好自己和家人。  ,TRUE,1
IqZHh52ku,转发理由:祝大家春节快乐，阖家安康，今晚一起过除夕。  ,FALSE,1
IqHsU0q4P,转发理由:#致敬疫情前线医护人员#向所有医护人员致敬！希望大家都做好防护措施，愿所有人都平安健康。//@TFBOYS组合:#致敬疫情前线医护人员# 致敬伟大的医护人员们，你们辛苦了！愿大家都能平安健康  ,FALSE,1
IqmSQ5uCH,转发理由:大年三十，《夺冠》提前上场！#电影夺冠提档#  ,FALSE,1
IqkyehvTf,满腔热忱，无畏前行。#热血同行艳势番##热血同行开播#  原图 ,TRUE,1
IpWWZtEZ9,转发理由:#热血同行定档0120# 无负青春，共赴远方！大家久等了，我们来了  ,FALSE,1
IpVcxjdb9,集 新年开运卡 ，分享新年好运。转发微博，就有可能获得我的限定【开挂运】！集齐6种开运卡将在1月24日20:20 获得鸿运大红包 ！#集卡开鸿运#祝大家小年快乐，喜乐安康～ @让红包飞  原图 ,TRUE,1
IpjaSELOw,与我一起，加入@angelica张宇 @Vogue服饰与美容 发起的#Vogue环保打卡#接力，我倡导大家在日常生活与工作中多使用双面打印，减少纸张浪费。把环保落实到生活细节当中，从今天开始，你准备好了吗？#此刻即未来# TFBOYS-易烊千玺的微博视频  ,TRUE,1
Ip2eZ1T8u,明星动态  ,TRUE,1
IoTZcf1U5,转发理由:不分昼夜地拼搏，让心中的热爱更加坚定。#电影中国女排推广曲#  ,FALSE,1
